"word","part_of_speech"
"Barbados","M"
"Barbara","M"
"Barbarella","M"
"Barbarossa","M"
"Barbary","M"
"Barber","M"
"Barbie","M"
"Barbour","M"
"Barbra","M"
"Barbuda","M"
"Barcelona","M"
"Barceloneta","M"
"Barclay","SM"
"Barclays","M"
"Bardeen","M"
"Barents","M"
"Barker","M"
"Barkley","M"
"Barlow","M"
"Barnabas","M"
"Barnaby","M"
"Barnard","M"
"Barnaul","M"
"Barnes","M"
"Barnett","M"
"Barney","M"
"Barnum","M"
"Baroda","M"
"Barquisimeto","M"
"Barr","M"
"Barranquilla","M"
"Barrera","M"
"Barrett","M"
"Barrie","M"
"Barron","M"
"Barry","M"
"Barrymore","M"
"Bart","M"
"Barth","MS"
"Bartholdi","M"
"Bartholomew","M"
"Bartlett","M"
"Bartok","M"
"Barton","M"
"Baruch","M"
"Baryshnikov","M"
"Basel","M"
"Basho","M"
"Basie","M"
"Basil","M"
"Basque","MS"
"Basra","M"
"Bass","M"
"Basseterre","M"
"Bastille","M"
"Basutoland","M"
"Bataan","M"
"Bates","M"
"Bathsheba","M"
"Batista","M"
"Batman","M"
"Battle","M"
"Batu","M"
"Baudelaire","M"
"Baudouin","M"
"Baudrillard","M"
"Bauer","M"
"Bauhaus","M"
"Baum","M"
"Bavaria","M"
"Bavarian","M"
"Baxter","M"
"Bayamon",NA
"Bayer","M"
"Bayes","M"
"Bayesian","M"
"Bayeux","M"
"Baylor","M"
"Bayonne","M"
"Bayreuth","M"
"Baywatch","M"
"Be","MH"
"Beach","M"
"Beadle","M"
"Bean","M"
"Beard","M"
"Beardmore","M"
"Beardsley","M"
"Bearnaise","M"
"Beasley","M"
"Beatlemania","M"
"Beatles","M"
"Beatrice","M"
"Beatrix","M"
"Beatriz","M"
"Beatty","M"
"Beau","M"
"Beaufort","M"
"Beaujolais","M"
"Beaumarchais","M"
"Beaumont","M"
"Beauregard","M"
"Beauvoir","M"
"Bechtel","M"
"Beck","MR"
"Becker","M"
"Becket","M"
"Beckett","M"
"Beckley","M"
"Beckman",NA
"Becky","M"
"Becquerel","M"
"Bede","M"
"Bedouin","SM"
"Beebe","M"
"Beecher","M"
"Beefaroni","M"
"Beelzebub","M"
"Beerbohm","M"
"Beethoven","M"
"Beeton","M"
"Begin","M"
"Behan","M"
"Behring","M"
"Beiderbecke","M"
"Beijing","M"
"Beirut","M"
"Bekesy","M"
"Bela","M"
"Belarus","M"
"Belarusian",NA
"Belau","M"
"Belem","M"
"Belfast","M"
"Belg",NA
"Belgian","SM"
"Belgium","M"
"Belgrade","M"
"Belinda","M"
"Belize","M"
"Bell","M"
"Bella","M"
"Bellamy","M"
"Bellatrix","M"
"Belleek","M"
"Bellingham","M"
"Bellini","M"
"Bellow","M"
"Belmont","M"
"Belmopan","M"
"Beloit","M"
"Belorussian","MS"
"Belshazzar","M"
"Beltane","M"
"Belushi","M"
"Ben","M"
"Benacerraf","M"
"Benchley","M"
"Bend","MR"
"Bender","M"
"Bendictus",NA
"Bendix","M"
"Benedict","M"
"Benedictine","MS"
"Benelux","M"
"Benet","M"
"Benetton","M"
"Bengal","SM"
"Bengali","M"
"Benghazi","M"
"Benin","M"
"Beninese","M"
"Benita","M"
"Benito","M"
"Benjamin","M"
"Bennett","M"
"Bennie","M"
"Benny","M"
"Benson","M"
"Bentham","M"
"Bentley","M"
"Benton","M"
"Benz","M"
"Benzedrine","M"
"Beowulf","M"
"Berber","SM"
"Berenice","M"
"Beretta","M"
"Berg","MNR"
"Bergen","M"
"Berger","M"
"Bergerac","M"
"Bergman","M"
"Bergson","M"
"Beria","M"
"Bering","M"
"Berkeley","M"
"Berkshire","SM"
"Berkshires","M"
"Berle","M"
"Berlin","SZMR"
"Berliner","M"
"Berlioz","M"
"Berlitz","M"
"Bermuda","SM"
"Bermudan","SM"
"Bermudian","SM"
"Bern","M"
"Bernadette","M"
"Bernadine","M"
"Bernanke","M"
"Bernard","M"
"Bernardo","M"
"Bernays","M"
"Bernbach","M"
"Bernese",NA
"Bernhardt","M"
"Bernice","M"
"Bernie","M"
"Bernini","M"
"Bernoulli","M"
"Bernstein","M"
"Berra","M"
"Berry","M"
"Bert","M"
"Berta","M"
"Bertelsmann","M"
"Bertha","M"
"Bertie","M"
"Bertillon","M"
"Bertram","M"
"Bertrand","M"
"Berwick","M"
"Beryl","M"
"Berzelius","M"
"Bess","M"
"Bessel","M"
"Bessemer","M"
"Bessie","M"
"Best","M"
"Betelgeuse","M"
"Beth","M"
"Bethany","M"
"Bethe","M"
"Bethesda","M"
"Bethlehem","M"
"Bethune","M"
"Betsy","M"
"Bette","M"
"Bettie","M"
"Betty","M"
"Bettye","M"
"Beulah","M"
"Beveridge",NA
"Beverley","M"
"Beverly","M"
"Beyer","M"
"Bharat","M"
"Bhopal","M"
"Bhutan","M"
"Bhutanese","M"
"Bhutto","M"
"Bi","M"
"Bialystok","M"
"Bianca","M"
"Bib",NA
"Bible","MS"
"Bic","M"
"Biddle","M"
"Biden","M"
"Bierce","M"
"BigQuery","M"
"Bigfoot","M"
"Biggles","M"
"Biko","M"
"Bilbao","M"
"Bilbo","M"
"Bill","MJ"
"Billie","M"
"Billings","M"
"Billy","M"
"Bimini","M"
"Binghamton","M"
"Biogen","M"
"Bioko","M"
"Bird","M"
"Birdseye","M"
"Birkenstock","M"
"Birmingham","M"
"Biro","M"
"Biscay","M"
"Biscayne","M"
"Bishkek","M"
"Bishop","M"
"Bismarck","M"
"Bismark","M"
"Bisquick","M"
"Bissau","M"
"BitTorrent","M"
"Bizet","M"
"Bjerknes","M"
"Bjork","M"
"Bk","M"
"BlackBerry","M"
"Blackbeard","M"
"Blackburn","M"
"Blackfeet","M"
"Blackfoot","M"
"Blackpool","M"
"Blacksburg","M"
"Blackshirt","M"
"Blackstone","M"
"Blackwell","M"
"Blaine","M"
"Blair","M"
"Blake","M"
"Blanca","M"
"Blanchard","M"
"Blanche","M"
"Blankenship","M"
"Blantyre","M"
"Blatz","M"
"Blavatsky","M"
"Blenheim","M"
"Blevins","M"
"Bligh","M"
"Bloch","M"
"Blockbuster","M"
"Bloemfontein","M"
"Blondel","M"
"Blondie","M"
"Bloom","MR"
"Bloomer","M"
"Bloomfield","M"
"Bloomingdale","M"
"Bloomington","M"
"Bloomsburg","M"
"Bloomsbury","M"
"Blu",NA
"Blucher","M"
"Bluebeard","M"
"Bluetooth","M"
"Blvd",NA
"Blythe","M"
"Boadicea",NA
"Boas","M"
"Bob","M"
"Bobbi","M"
"Bobbie","M"
"Bobbitt","M"
"Bobby","M"
"Boccaccio","M"
"Bodhidharma","M"
"Bodhisattva","M"
"Bodleian",NA
"Boeing","M"
"Boeotia","M"
"Boeotian","M"
"Boer","SM"
"Boethius","M"
"Bogart","M"
"Bogota","M"
"Bohemia","M"
"Bohemian","SM"
"Bohr","M"
"Boise","M"
"Bojangles","M"
"Boleyn","M"
"Bolivar","M"
"Bolivia","M"
"Bolivian","MS"
"Bollywood","M"
"Bologna","M"
"Bolshevik","SM"
"Bolsheviki",NA
"Bolshevism","M"
"Bolshevist","M"
"Bolshoi","M"
"Bolton","M"
"Boltzmann","M"
"Bombay","M"
"Bonaparte","M"
"Bonaventure","M"
"Bond","M"
"Bonhoeffer","M"
"Boniface","M"
"Bonita","M"
"Bonn","MR"
"Bonner","M"
"Bonneville","M"
"Bonnie","M"
"Bono","M"
"Booker","M"
"Boole","M"
"Boolean","M"
"Boone","M"
"Bootes","M"
"Booth","M"
"Bordeaux","M"
"Borden","M"
"Bordon","M"
"Boreas","M"
"Borg","SM"
"Borges","M"
"Borgia","M"
"Borglum","M"
"Boris","M"
"Bork","M"
